LCT,set_number,gamma_detection_method,alpha_detection_method,beta_detection_method,pabs_eDNA,weight_total_kg,pabs_trawl
Thaleichthys pacificus,5,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.052,1
Thaleichthys pacificus,6,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.805,1
Thaleichthys pacificus,7,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,1.52,1
Thaleichthys pacificus,8,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,0.681,1
Thaleichthys pacificus,9,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1,1.584,1
Xiphister atropurpureus/mucosus,10,only eDNA,only eDNA,only eDNA,1,0,0
Xiphister atropurpureus/mucosus,15,only eDNA,only eDNA,only eDNA,1,0,0
Xiphister atropurpureus/mucosus,16,only eDNA,only eDNA,only eDNA,1,0,0
Xiphister atropurpureus/mucosus,3,only eDNA,only eDNA,only eDNA,1,0,0
Xiphister atropurpureus/mucosus,8,only eDNA,only eDNA,only eDNA,1,0,0
Zoarcidae,6,only trawl,only trawl,only trawl,0,0.07,1
